# {"t_start": 1556009447.5062487, "env_id": null} 
r,l,t
11.911476,15,2.343381
10.957474,22,2.388247
8.908197,14,2.415976
17.475963,11,2.437615
17.302456,13,2.464601
16.165365,29,2.521867
12.20704,17,2.558243
5.658339,12,2.58028
15.592975,17,2.612704
9.413771,21,2.653833
14.299465,14,2.681453
19.643489,16,2.710101
17.551277,15,2.738364
10.467745,17,2.771013
11.061731,22,2.811912
10.175976,14,2.838063
11.784213,17,2.871086
17.783939,10,2.890518
14.544222,13,2.915953
9.025234,12,2.93826
11.369829,22,2.982503
5.331542,15,3.01139
11.90849,23,3.056313
8.770919,11,3.076273
9.374527,18,3.109766
14.206118,21,3.147415
17.071306,12,3.172043
12.990828,18,3.204648
9.808481,23,3.250404
11.411372,21,3.290625
10.681893,14,3.316137
15.783166,16,3.346818
20.338107,11,3.365123
15.973001,19,3.40203
9.781406,13,3.426985
16.03968,21,3.468474
14.250365,12,3.491805
8.321571,15,3.517635
17.020831,11,3.537374
14.095554,18,3.572369
11.645467,27,3.626134
12.611945,17,3.657822
16.174424,14,3.68527
14.536549,28,3.737981
8.928778,17,3.771001
15.113123,21,3.810303
11.369213,19,3.846796
9.546704,16,3.875151
16.543832,25,3.921655
15.881465,14,3.946648
18.199878,12,3.969239
15.998978,13,3.995062
11.383875,16,4.031905
17.858169,15,4.059741
10.265049,17,4.09221
10.772073,21,4.136741
11.394788,13,4.161531
11.231676,17,4.194804
16.66926,17,4.224774
16.282227,23,4.268256
12.217304,16,4.298762
5.125551,14,4.326056
16.731905,11,4.347708
10.003231,14,4.373359
10.277755,21,4.41475
17.024154,14,4.438563
8.499541,20,4.476744
14.523519,13,4.501095
14.649045,20,4.543868
11.083211,11,4.56527
16.604247,14,4.592625
14.093655,21,4.634331
9.690941,16,4.663219
10.496321,16,4.698045
11.216574,27,4.753405
10.881273,17,4.789483
11.493389,14,4.816201
12.481334,22,4.857351
16.105138,12,4.87914
15.515285,14,4.904262
10.189763,20,4.942588
16.258173,23,4.985933
18.534145,22,5.029668
19.268342,18,5.066432
8.386147,17,5.099022
17.255326,12,5.121946
17.36662,16,5.152534
8.893034,15,5.18085
11.244563,24,5.22868
10.721169,19,5.265858
10.340857,18,5.300541
8.306619,18,5.335258
9.450995,19,5.37313
15.020336,10,5.394929
13.231662,27,5.450243
17.455211,14,5.479883
14.985879,24,5.529051
15.935218,12,5.550162
15.176777,16,5.582345
15.085244,14,5.609955
13.253616,12,5.631097
10.24761,19,5.666062
13.95,13,5.691814
14.196068,17,5.724212
9.462684,15,5.753073
15.603936,36,5.822791
9.320294,21,5.864746
10.764186,10,5.882397
11.148703,19,5.916188
12.073468,22,5.956588
20.113885,15,5.9848
13.247217,15,6.010081
9.03841,16,6.03856
15.169418,18,6.070292
15.705008,13,6.092691
10.992924,11,6.111454
15.463193,13,6.13306
12.204181,14,6.154073
16.820334,14,6.17633
9.224297,15,6.198517
10.898271,16,6.225831
8.182353,19,7.51746
11.34588,17,7.554325
8.493761,19,7.594459
12.073839,22,7.637113
11.23987,19,7.678379
19.475247,14,7.707389
9.101355,19,7.745319
15.342122,18,7.779891
17.119718,12,7.802674
10.696559,15,7.8317
9.519498,13,7.854986
11.084086,21,7.893725
11.39718,15,7.919436
13.74193,13,7.942844
9.684185,14,7.968634
16.875817,19,8.00421
10.942199,21,8.041904
12.49232,13,8.066625
11.163113,14,8.091294
9.964034,15,8.118641
11.447202,14,8.143187
8.467174,15,8.173161
10.077188,14,8.202035
9.731793,13,8.225853
16.689776,18,8.264778
14.608008,16,8.298892
10.487863,14,8.326799
16.791466,17,8.359145
16.000852,10,8.378471
9.055672,16,8.408014
11.774475,16,8.436411
17.027363,13,8.462537
10.308367,16,8.4932
12.85445,28,8.550814
14.831756,13,8.574409
9.175028,15,8.604512
14.4575,12,8.626483
9.773438,24,8.671919
5.224939,14,8.697809
9.553844,20,8.736038
10.687643,15,8.764173
15.356643,17,8.799876
10.165902,14,8.826303
19.467623,17,8.858063
11.536324,14,8.884602
8.430663,15,8.915592
10.02709,14,8.941415
12.056662,17,8.974365
12.020416,14,9.00176
15.030342,13,9.027611
15.264739,9,9.046515
8.666869,18,9.079453
14.719406,22,9.125054
17.129872,23,9.172583
12.873311,17,9.205903
15.312307,12,9.229177
9.969143,21,9.271948
14.045344,17,9.303637
12.480551,16,9.340126
8.530482,25,9.388541
17.277957,15,9.420006
16.087968,9,9.437417
11.482818,19,9.475586
10.36919,15,9.508348
10.439249,16,9.541846
15.019809,20,9.578987
16.04341,18,9.613249
13.972674,15,9.642148
11.755245,22,9.688024
17.142043,15,9.717745
17.078975,12,9.741973
5.196358,15,9.771852
8.911696,19,9.809167
10.744224,17,9.841479
17.826008,21,9.883223
10.071628,15,9.910234
18.350834,24,9.958257
16.44327,15,9.987791
12.200476,20,10.023655
11.202077,12,10.047794
9.451711,19,10.083239
9.258271,18,10.118855
15.953373,13,10.145008
14.626485,27,10.198071
10.52481,13,10.223444
15.772668,14,10.254617
20.190246,23,10.298653
9.341254,16,10.326958
10.393271,15,10.352871
8.966071,16,10.384155
13.788075,13,10.408498
10.411585,16,10.44484
5.559757,17,10.475163
11.369763,16,10.504851
11.602376,13,10.528789
10.715505,18,10.56181
14.913004,15,10.587939
10.150078,12,10.611696
15.171729,18,10.650004
8.200016,14,10.676789
12.270733,17,10.710435
16.373181,11,10.731108
17.050772,16,10.765447
10.829755,20,10.803501
10.294343,15,10.83297
17.459918,21,10.87299
10.15334,18,10.910903
9.186079,17,10.943997
12.067985,16,10.974339
17.714904,26,11.029198
11.256254,13,11.055279
9.298993,14,11.083931
10.505625,14,11.111773
9.779377,26,11.159121
9.393465,17,11.190809
16.064357,14,11.217574
13.041619,17,11.250773
11.321119,15,11.280568
13.011845,14,11.307894
16.389349,12,11.330638
18.431005,12,11.354985
10.785447,16,11.384427
16.496184,24,11.431209
8.548415,16,11.461577
16.553063,12,12.10119
9.700602,16,12.136766
5.932619,15,12.165468
10.795023,17,12.197471
8.892083,16,12.228282
10.059664,10,12.246392
15.654492,25,12.298131
17.741706,14,12.327408
10.370224,13,12.350942
10.587485,17,12.383886
14.509535,17,12.417629
